Bedrooms,Area_sqft,Bathrooms,Location,Parking_spaces,House_age,Price
3.0,3214.487345960175,,Rural,,13.0,538667.0646457358
6.0,2628.3710574297957,4.0,Suburban,3.0,82.0,593855.028486497
4.0,4184.307518334215,1.0,Rural,3.0,20.0,562273.079167914
5.0,2288.2054480898046,5.0,Suburban,2.0,99.0,498171.30772038264
4.0,1807.6440191285976,1.0,Suburban,0.0,41.0,385408.8688833135
2.0,1536.1077579254147,5.0,Urban,1.0,40.0,520418.65336095024
6.0,,1.0,Rural,0.0,87.0,261493.96504648757
1.0,3903.190960511537,5.0,Urban,0.0,76.0,918965.8207736958
5.0,3911.8325498444183,3.0,Suburban,0.0,22.0,704017.4119098937
5.0,2028.998622028483,3.0,Urban,0.0,37.0,633300.2745359256
2.0,928.6767857958184,,Rural,0.0,85.0,125431.1515804797
5.0,3287.7398813341447,4.0,Rural,0.0,24.0,494101.21365080023
4.0,641.3981968007282,4.0,Urban,2.0,58.0,273285.87362004013
1.0,2306.505339109371,4.0,Urban,1.0,51.0,599014.8492001531
5.0,3732.931534184309,1.0,Urban,0.0,80.0,923167.7944053984
1.0,3409.0254055607315,,,3.0,79.0,457546.361207115
4.0,4735.726017088332,1.0,Suburban,0.0,76.0,787455.4036406684
2.0,,4.0,Rural,1.0,22.0,655814.7926868141
1.0,2570.010780113595,3.0,Urban,0.0,,539254.1933899485
2.0,4965.990302186506,1.0,Urban,1.0,30.0,1255766.0177801575
,1835.5400690893275,5.0,Suburban,3.0,78.0,400409.34164108295
5.0,603.1976507061892,5.0,Suburban,3.0,35.0,318898.5380801485
,4902.787754602681,4.0,Urban,0.0,49.0,1284875.346860313
2.0,505.56505891734247,5.0,Suburban,1.0,,198846.24920870416
1.0,2634.2978919406723,1.0,,0.0,43.0,543367.4110244195
4.0,2851.4287252942395,2.0,Urban,1.0,89.0,718684.9536964735
1.0,3941.604376066747,4.0,Rural,2.0,70.0,556673.1128866391
2.0,2697.7735852922283,3.0,Rural,0.0,66.0,392693.9072941632
,2783.50864753884,3.0,Urban,0.0,92.0,583650.6265512416
4.0,4064.421351922445,1.0,,1.0,55.0,952607.968948308
6.0,,3.0,Suburban,0.0,32.0,687279.7405254253
2.0,3765.322401234871,5.0,Urban,0.0,61.0,937302.4525686392
3.0,3124.65871605252,2.0,Rural,3.0,35.0,425354.6585536084
2.0,2592.7486173528996,1.0,Suburban,3.0,56.0,508848.5924958206
3.0,3370.8235699218653,,,2.0,37.0,881393.0256928769
3.0,3018.5980017707293,4.0,Suburban,2.0,68.0,643939.8686838682
6.0,3488.8456152743784,3.0,Suburban,1.0,,758124.370360866
2.0,4259.335238789567,4.0,Suburban,3.0,65.0,742448.8927920585
3.0,2507.9054943989463,3.0,Urban,1.0,19.0,703478.70315307
4.0,2287.3044984314497,2.0,Urban,1.0,38.0,598674.7458840704
5.0,733.5542461428905,4.0,Urban,2.0,46.0,358045.9810517351
5.0,1743.0679623881888,2.0,Urban,3.0,76.0,562081.5930992989
6.0,3748.6815238205577,4.0,Urban,1.0,67.0,1075999.9517900385
6.0,1842.957105628445,4.0,Urban,1.0,94.0,623125.5013367439
3.0,3794.5517307933014,2.0,Urban,3.0,87.0,915267.7770427292
4.0,,4.0,Suburban,3.0,52.0,527385.3069808315
2.0,4132.351934560346,3.0,Urban,2.0,99.0,1003200.8664012472
3.0,899.4532734849581,3.0,Urban,3.0,58.0,271258.42437501624
5.0,1257.516301636086,3.0,Suburban,0.0,67.0,259651.81572408948
3.0,3089.3422427876676,5.0,Urban,0.0,19.0,952301.3186176304
2.0,,1.0,Rural,3.0,72.0,228309.710501342
6.0,1989.0021334512735,1.0,Rural,2.0,60.0,349438.5184306599
1.0,3770.371508756885,2.0,Urban,2.0,11.0,976738.141903377
4.0,,5.0,Rural,3.0,51.0,584851.2582304851
4.0,2578.2956657379964,2.0,Suburban,3.0,80.0,570733.9803478853
4.0,2563.09891056166,,Suburban,0.0,2.0,595550.8469390107
5.0,4232.2623213133065,2.0,Suburban,1.0,,810875.4761469993
5.0,581.0004002534674,2.0,Rural,1.0,63.0,206071.563517208
6.0,4728.4318008207865,4.0,Suburban,1.0,7.0,1055436.1020274016
1.0,998.3680039353115,,Urban,3.0,54.0,374321.90971403546
2.0,4962.147839916233,3.0,Suburban,0.0,4.0,934659.9954345188
,3596.9353963996796,3.0,Rural,1.0,25.0,447108.1906791577
1.0,1514.4743995866224,3.0,Urban,3.0,76.0,318361.1653831321
4.0,4072.9537236560273,2.0,Urban,0.0,35.0,1011251.3810506983
4.0,4115.831487957204,5.0,Urban,3.0,69.0,1181383.6215208138
4.0,1889.754908033034,5.0,,1.0,11.0,556221.8001470212
2.0,1223.8167828098578,5.0,Suburban,0.0,15.0,396361.9814982707
1.0,1065.8368031299196,5.0,Urban,1.0,99.0,199133.63050765952
6.0,3407.4327875227837,1.0,Suburban,2.0,78.0,771449.23053928
6.0,1859.2722582565775,4.0,Rural,2.0,13.0,422824.4793259356
3.0,,1.0,Urban,1.0,51.0,509997.569979416
,4238.947361037674,5.0,Suburban,0.0,42.0,929350.4500981476
4.0,4315.675476935068,5.0,,0.0,79.0,1041317.0188096828
2.0,3637.739385742356,2.0,,3.0,40.0,795800.0363770499
,1012.8048562144272,4.0,Suburban,0.0,6.0,335652.9810584163
5.0,3355.8766541932123,2.0,Rural,1.0,5.0,567873.2750134768
4.0,3739.0615400960874,2.0,Urban,0.0,21.0,991138.5721851244
4.0,2320.5589538180784,1.0,,3.0,83.0,398097.0499671672
5.0,3763.200773980017,1.0,Urban,3.0,85.0,847688.8905001293
2.0,4043.180052522975,1.0,Suburban,0.0,72.0,717797.0079829145
2.0,4457.0345907943765,2.0,Suburban,1.0,58.0,826620.3495832343
2.0,2248.937593834311,2.0,Urban,0.0,75.0,530955.0549079119
1.0,4459.38204812522,4.0,Urban,0.0,48.0,1133221.543063317
4.0,1267.6186020069051,5.0,Urban,2.0,16.0,488649.7069119761
5.0,2351.0275992461475,5.0,Suburban,2.0,55.0,473460.82172947656
4.0,4210.4066363916445,2.0,Rural,1.0,39.0,574518.5603135781
6.0,4976.860878766947,3.0,Rural,2.0,20.0,802483.8306261029
4.0,2165.235506034149,3.0,Suburban,1.0,4.0,512947.9640993375
2.0,1949.9697655008276,1.0,Suburban,0.0,79.0,279503.4034149301
3.0,4231.995823135777,1.0,Urban,0.0,50.0,1021360.3257113046
,4312.374975651118,4.0,Rural,2.0,71.0,518587.9351713799
2.0,1772.355603104429,2.0,Urban,2.0,59.0,433932.8873916003
4.0,2811.2497094494606,,Urban,1.0,13.0,726580.8027649561
1.0,4796.811468673106,3.0,Rural,0.0,32.0,581550.3474798416
6.0,508.45947586209786,3.0,Urban,3.0,5.0,411493.4856467594
1.0,4424.2175230115345,3.0,Urban,2.0,62.0,1020464.2680049748
3.0,2370.2175315830095,4.0,Rural,,11.0,260834.98253892775
2.0,4502.259122579799,2.0,Urban,0.0,8.0,1146672.3228836842
3.0,4173.8485323426385,2.0,Urban,1.0,15.0,1037705.314866106
2.0,3186.930965840239,1.0,Rural,2.0,78.0,363992.52280822874
3.0,2941.4046583951317,2.0,Suburban,0.0,93.0,531551.3719175123
,2527.153571617679,1.0,Rural,1.0,45.0,324865.163229536
5.0,2354.589186182472,3.0,Urban,2.0,81.0,811666.6233514587
,2890.924342556266,,Suburban,1.0,91.0,531305.8878631437
1.0,4357.890060623784,4.0,Rural,1.0,20.0,498711.5567849636
5.0,1740.2555240552545,5.0,Rural,0.0,94.0,312732.03226533695
,1008.244437850281,2.0,Suburban,2.0,68.0,194634.004380048
2.0,3464.7128156303174,1.0,Suburban,2.0,7.0,773861.8726438568
5.0,639.2194012910389,3.0,Urban,1.0,40.0,416445.7386727236
4.0,3856.663439661535,3.0,Rural,3.0,28.0,579706.340414522
5.0,2105.0193836379412,4.0,Suburban,1.0,,454754.1262558738
3.0,3124.6993301587045,2.0,Rural,1.0,89.0,226838.18630734255
2.0,4278.468450689556,3.0,Rural,2.0,72.0,580150.0341909649
6.0,1477.4409396104477,5.0,Urban,0.0,80.0,541148.7644314371
2.0,3798.045132536038,4.0,Urban,2.0,16.0,924271.59857998
6.0,2484.8247121285267,3.0,Urban,0.0,54.0,613489.7635034728
3.0,4126.300396780249,2.0,Suburban,0.0,44.0,788031.0832594994
5.0,707.5560395108023,1.0,Suburban,0.0,6.0,329938.6367701256
,3715.885737089259,2.0,Rural,2.0,34.0,518284.0867651182
2.0,700.5372055190562,1.0,Urban,1.0,0.0,292972.47449448647
4.0,3442.9734155291053,5.0,,0.0,52.0,546075.7755276558
4.0,4277.574092753451,1.0,Rural,1.0,55.0,608395.7842197246
1.0,4204.283070180471,3.0,Suburban,3.0,3.0,902297.6183291776
3.0,959.6728834589214,1.0,Rural,2.0,63.0,126603.15177107678
4.0,2495.5512637185684,5.0,Rural,0.0,6.0,401772.26287253795
5.0,1152.3428257091766,2.0,Rural,0.0,7.0,276091.3461249605
3.0,4530.770266667778,1.0,Suburban,0.0,65.0,780004.1133294372
5.0,1439.88831817583,5.0,Urban,0.0,9.0,605072.2280617468
3.0,4895.263573981605,3.0,Rural,2.0,52.0,627442.4025492398
2.0,,5.0,Urban,,,509585.2870673327
4.0,1702.636834071179,4.0,Urban,1.0,54.0,463644.1588032904
3.0,1207.9682600082272,4.0,Suburban,2.0,16.0,406717.1633088929
5.0,4616.290017304266,4.0,Suburban,3.0,44.0,1028827.4645868352
4.0,2001.062972624902,2.0,Urban,3.0,76.0,607435.9860524975
,3191.506832160581,3.0,Urban,1.0,12.0,803050.4912818631
5.0,4733.939103521292,1.0,Suburban,0.0,29.0,932549.0933930244
6.0,4027.292045454533,3.0,Rural,0.0,17.0,487943.9938942339
4.0,2805.281407595683,2.0,Urban,0.0,36.0,820669.7460560035
6.0,3112.137530225036,4.0,Urban,2.0,2.0,918659.944383718
2.0,1838.097717065775,3.0,Rural,3.0,88.0,271788.2033985602
4.0,2713.6899504757807,3.0,Rural,0.0,10.0,437083.73957027943
6.0,1065.759210465018,3.0,Suburban,1.0,,300990.8389284705
5.0,3763.3349661232583,2.0,Rural,3.0,45.0,574094.198294312
3.0,4181.930009367114,3.0,Suburban,1.0,6.0,891809.4041893267
3.0,2041.940696544119,3.0,Urban,3.0,64.0,589748.6743918101
2.0,701.841056106059,4.0,Suburban,3.0,25.0,270963.7994230934
3.0,4918.861357007654,1.0,Suburban,3.0,4.0,995042.0674193328
2.0,3253.7322740179898,4.0,Rural,2.0,60.0,407152.07199792867
2.0,2383.6127973077087,1.0,Suburban,3.0,85.0,442662.1397817569
5.0,2046.4843667409637,2.0,Urban,2.0,42.0,728686.7940081675
3.0,1250.9830303469191,2.0,Rural,2.0,79.0,88027.73284930534
6.0,4422.189772797038,3.0,Urban,0.0,13.0,1237660.3006954829
3.0,1286.4804927231974,,Suburban,3.0,32.0,352589.3782597929
5.0,2562.055926767752,1.0,Suburban,3.0,85.0,511538.191001519
4.0,2310.472061089502,,Rural,1.0,9.0,336074.64758968004
6.0,2613.846933458077,3.0,Suburban,1.0,86.0,539204.4294883214
4.0,2551.906740919716,4.0,Rural,0.0,,436538.95925581834
,4198.128997554891,3.0,Suburban,2.0,95.0,903561.9822889756
4.0,1928.8915154453168,5.0,Rural,0.0,15.0,324085.4902202757
6.0,2986.3112665222634,5.0,Rural,3.0,71.0,456544.3011533378
6.0,3237.84021146008,,Rural,0.0,14.0,518941.0372236434
5.0,3754.077232471494,1.0,Urban,3.0,49.0,888156.5445777831
3.0,2028.9597221800304,2.0,Urban,3.0,93.0,488114.7729873149
3.0,2179.669165082415,4.0,Urban,2.0,41.0,734559.9688613832
5.0,1444.2889768538423,3.0,Rural,2.0,76.0,184920.9420128986
6.0,3646.919188067917,3.0,Suburban,0.0,1.0,895468.2474558081
2.0,,5.0,Rural,0.0,,89148.20903063813
4.0,3004.866760715227,4.0,Rural,3.0,89.0,426605.603294729
6.0,2999.7294084763707,2.0,Rural,1.0,,371946.1937503785
2.0,1241.7110390604291,4.0,Suburban,0.0,89.0,56653.73180790129
6.0,4629.886201271198,5.0,Suburban,3.0,0.0,1236724.777344816
1.0,2613.3879860631905,,Rural,3.0,96.0,357399.7094356203
6.0,4699.0725548373875,1.0,Suburban,3.0,75.0,973081.3806731114
4.0,1565.5293919012342,1.0,Suburban,1.0,,320458.8947581137
3.0,2633.0289281742016,2.0,Rural,2.0,29.0,360999.2939800952
4.0,4761.661944824254,2.0,Urban,2.0,8.0,1316232.9775999077
5.0,3949.648357872395,3.0,Suburban,3.0,92.0,746243.5035530453
1.0,2582.833797571328,5.0,Urban,2.0,46.0,749595.0954809322
2.0,4713.202127359486,5.0,Suburban,0.0,89.0,866418.3193217162
1.0,3519.2435213412855,5.0,Suburban,3.0,94.0,587075.770175023
4.0,811.0975378397875,1.0,Rural,1.0,88.0,54324.247504974184
4.0,4071.847326712323,2.0,Urban,0.0,28.0,1080485.8143767992
3.0,4254.365146796454,2.0,Urban,0.0,70.0,981541.5311085142
4.0,3403.804268865726,1.0,Suburban,2.0,11.0,774088.8159674819
5.0,1173.2065228712863,5.0,Suburban,0.0,86.0,334596.015792812
3.0,2242.5677203014316,1.0,Suburban,2.0,89.0,429379.2030207
3.0,1177.346712485361,1.0,Suburban,2.0,1.0,419850.31850884296
5.0,1613.7953291318538,5.0,Suburban,1.0,91.0,373369.1925338413
4.0,2807.2411151568267,5.0,Rural,3.0,25.0,370854.51329038
6.0,3917.049475652897,2.0,Urban,1.0,22.0,1155302.4614959017
3.0,3346.4484948462255,2.0,,1.0,91.0,655522.4130428458
3.0,638.5552234720153,5.0,Rural,0.0,75.0,131725.6225103421
1.0,1445.1320728232672,5.0,,0.0,58.0,273615.02100317966
3.0,1341.1149827380773,3.0,Urban,0.0,,429923.8793996592
5.0,765.9225053521398,1.0,Suburban,1.0,,165010.80841387398
5.0,1188.427103728532,2.0,Rural,3.0,22.0,225260.4173702184
3.0,4525.892589099355,1.0,Suburban,3.0,86.0,769980.4032522875
5.0,3023.935085131779,1.0,Rural,0.0,47.0,396770.739638868
2.0,3809.076343995887,5.0,Suburban,3.0,42.0,799460.109739961
5.0,3982.5779979679937,4.0,Rural,,84.0,491500.9797467793
2.0,2503.6075052815468,2.0,Urban,0.0,91.0,558450.8491544792
6.0,3194.212910450484,4.0,Urban,3.0,45.0,920852.761115256
2.0,2402.1010102828527,5.0,Suburban,1.0,86.0,403061.46593682625
3.0,3719.709081946735,5.0,Rural,0.0,54.0,512219.72722613753
3.0,3344.9746898927706,1.0,Rural,1.0,8.0,337549.10386237875
1.0,2639.3297353253315,,Suburban,3.0,50.0,533031.7424660736
1.0,2363.9041650732365,1.0,Suburban,1.0,79.0,410167.51589528297
6.0,3819.045870917721,2.0,Rural,0.0,39.0,591744.921870489
6.0,4766.48744077149,5.0,Urban,1.0,87.0,1205668.9329412703
1.0,918.6371890701224,3.0,Suburban,0.0,32.0,155915.29361194404
5.0,2490.8447141630127,,Urban,0.0,28.0,783700.0228131823
5.0,1662.9422913131814,3.0,,0.0,2.0,597811.7380277289
2.0,2210.335290217424,4.0,Suburban,0.0,81.0,464608.5508926688
2.0,4021.618729331021,2.0,Rural,3.0,35.0,576253.2190832316
4.0,1453.9212090600734,1.0,Urban,0.0,15.0,490396.759845279
3.0,2547.1350027841418,5.0,Suburban,1.0,53.0,481040.8655310705
3.0,4741.4567285460735,2.0,Rural,2.0,43.0,654790.332430939
5.0,3194.6373337257114,4.0,Rural,0.0,54.0,440528.0127411427
3.0,4217.175732499573,2.0,Suburban,0.0,42.0,952787.239245248
2.0,4019.770683910608,1.0,Rural,3.0,46.0,533368.1931171753
1.0,3908.668481552378,5.0,Urban,3.0,61.0,1062693.4786804598
6.0,4868.447929136523,5.0,Rural,0.0,17.0,753765.3654608654
1.0,4631.935998302489,3.0,Urban,2.0,,1079400.1101257226
1.0,4424.6106501011445,1.0,Urban,3.0,32.0,1017097.6053285096
3.0,1443.888264576566,4.0,Urban,1.0,90.0,401980.1615122483
3.0,3414.7092697831467,5.0,Rural,2.0,50.0,489630.2251230577
4.0,4039.350720758812,5.0,Rural,2.0,96.0,537453.3058254619
1.0,4045.5589473151927,5.0,Urban,2.0,29.0,1073598.5947508523
3.0,4251.394103647813,,Rural,2.0,56.0,579741.3340891241
2.0,4683.276152940579,5.0,Suburban,1.0,79.0,920147.2142143252
2.0,,2.0,Urban,3.0,9.0,510305.61114365695
5.0,2771.80196851858,2.0,Suburban,0.0,49.0,679487.1964208211
2.0,2924.6585406782856,2.0,Suburban,0.0,17.0,653231.3342769109
4.0,2207.113654650907,2.0,Suburban,1.0,88.0,337453.655932017
6.0,4956.628018992674,3.0,Urban,0.0,71.0,1216912.699695459
,3189.7560436513895,1.0,Rural,3.0,14.0,469968.3505299811
6.0,4713.445192861206,2.0,Urban,2.0,15.0,1405727.0738398274
6.0,4331.518868980694,1.0,Suburban,1.0,21.0,906683.909935343
3.0,647.643308578738,4.0,Urban,3.0,6.0,460423.6788174672
1.0,790.7750592983876,3.0,Suburban,1.0,54.0,143356.57880183135
6.0,3035.4751730680646,1.0,Suburban,0.0,18.0,689535.6779539202
,3515.4321557492376,4.0,Suburban,3.0,63.0,857416.282749985
6.0,4233.144005893627,5.0,Urban,2.0,96.0,1090462.8963715958
5.0,3225.898864125755,4.0,Rural,3.0,2.0,576150.2556222768
,4787.588874205824,2.0,Suburban,3.0,87.0,756617.7914950248
5.0,2628.0370976490717,4.0,Urban,1.0,34.0,815792.6141583686
,2094.2049417847097,3.0,Rural,0.0,9.0,376013.1550719602
5.0,3500.899972479147,3.0,Urban,2.0,47.0,1007008.4172726048
4.0,4539.5360270508045,3.0,Suburban,0.0,82.0,874101.4573244756
4.0,3230.9480370961846,1.0,Suburban,0.0,1.0,661837.8156105034
1.0,3958.699121548288,4.0,Suburban,2.0,23.0,812115.3736191526
1.0,962.3671360359052,3.0,,2.0,27.0,409582.28390033415
4.0,2720.754464694837,3.0,Urban,2.0,60.0,743733.6129358918
2.0,4070.332661665268,4.0,Suburban,0.0,22.0,830986.2574791716
2.0,3843.8669283412105,4.0,Urban,0.0,37.0,1030112.09201805
3.0,3860.494877901731,,Rural,2.0,17.0,443839.23438788345
1.0,2437.430942782355,1.0,Urban,0.0,50.0,487604.3316627791
4.0,3634.8227204782543,1.0,Urban,,76.0,827234.137247062
1.0,,5.0,Rural,,62.0,134344.02465259412
4.0,2295.706757617,3.0,Suburban,3.0,,609447.1268845764
3.0,1518.2559869640431,3.0,Rural,3.0,70.0,211680.62385239295
5.0,691.8494417916473,1.0,Urban,0.0,11.0,299329.90319739864
4.0,2522.45225846182,5.0,Suburban,0.0,79.0,473554.905282616
5.0,3244.2431247441255,5.0,Rural,2.0,,529449.5532948886
4.0,3354.528828700419,3.0,,3.0,97.0,827361.1849320384
6.0,4863.234770816429,5.0,Urban,3.0,83.0,1301198.464010023
3.0,942.0574648508622,4.0,Rural,1.0,61.0,187392.98128496663
,2802.5662396168027,3.0,Suburban,3.0,28.0,629097.6180009727
2.0,4875.889995680465,5.0,Urban,2.0,23.0,1243280.1755735832
3.0,2185.1617998560764,2.0,Rural,0.0,41.0,317428.8087288228
1.0,,3.0,Rural,0.0,72.0,382692.2562790848
5.0,2254.4255882369484,5.0,Urban,0.0,96.0,605537.8993793484
5.0,2657.094980620333,3.0,Rural,0.0,64.0,313297.0379352391
4.0,3538.130275173506,1.0,Suburban,3.0,53.0,713146.5041877266
4.0,1372.792402704987,2.0,Urban,3.0,,246645.4636464639
2.0,1636.3750193393869,5.0,Rural,2.0,90.0,161167.09671084606
2.0,2892.098285487469,1.0,Suburban,3.0,13.0,605249.4793955542
2.0,1858.625150348758,5.0,Rural,2.0,88.0,98559.32677539492
1.0,4426.861111460758,2.0,Suburban,0.0,46.0,822587.5368006094
6.0,2276.304592301726,2.0,Suburban,2.0,4.0,574066.6152185024
5.0,1310.8808935766656,3.0,Suburban,1.0,39.0,403590.7916444383
2.0,2263.362333840855,1.0,Urban,0.0,57.0,510239.00424488867
2.0,1252.0940516204955,4.0,Rural,2.0,60.0,239150.36341715255
3.0,2279.8182643205687,3.0,Suburban,3.0,45.0,600895.9357393448
1.0,3980.9250119055378,4.0,Suburban,1.0,97.0,726177.8039968683
5.0,1968.5229391939424,2.0,Rural,2.0,92.0,351347.0017746511
6.0,3677.869323335114,2.0,Rural,3.0,42.0,585562.171183959
5.0,,5.0,Suburban,2.0,,436471.30831619486
4.0,2390.5342753147625,4.0,Suburban,3.0,91.0,470808.78401757986
1.0,888.9107484314592,3.0,Rural,1.0,21.0,78725.4444211974
3.0,3362.3184367842127,2.0,Urban,,32.0,757638.0408582779
5.0,2129.7931465942775,5.0,Urban,1.0,1.0,730557.5442362499
3.0,2823.9097469837498,3.0,Suburban,3.0,54.0,570523.7140219568
2.0,1749.8868068716752,4.0,Rural,2.0,46.0,303548.33934436546
6.0,1492.197956100979,3.0,Suburban,2.0,57.0,551374.3151065045
,3208.3492264790384,4.0,Rural,3.0,87.0,470295.1095488224
6.0,2973.228208388405,1.0,Urban,3.0,23.0,821533.4036563551
4.0,2499.887537380407,3.0,Suburban,2.0,72.0,479377.22510818194
1.0,1267.150721782629,1.0,Rural,0.0,27.0,137763.33950017267
1.0,2259.6924337617847,5.0,Rural,3.0,0.0,388309.4109174813
4.0,1697.0867510242133,3.0,Suburban,3.0,56.0,483629.49912144616
3.0,569.7874878196648,3.0,Rural,1.0,19.0,73014.45884907007
1.0,2532.6356865425723,,Urban,0.0,49.0,654013.9031431334
6.0,2756.819576658802,2.0,Rural,3.0,51.0,448775.3981659271
3.0,3161.3304174011964,,Suburban,2.0,64.0,610507.2876639004
1.0,4753.013849402039,2.0,Suburban,3.0,68.0,912924.0322351092
6.0,1618.6111597172394,3.0,Rural,2.0,44.0,264308.6660291661
6.0,1360.3581565915506,3.0,Urban,3.0,67.0,573217.3015483783
2.0,3816.9344769442305,3.0,Suburban,2.0,55.0,785928.008939575
1.0,650.2262080387155,4.0,Rural,3.0,9.0,209624.00614282367
5.0,603.0222123925411,1.0,Urban,2.0,89.0,131654.95281739737
6.0,1951.3759003088685,5.0,,2.0,44.0,640303.4555649398
4.0,3521.5472070258947,5.0,Rural,0.0,4.0,510554.4613031222
5.0,661.72403714699,5.0,Rural,1.0,61.0,245318.34416627337
5.0,4740.419253529368,5.0,Rural,2.0,79.0,716985.83163789
4.0,2274.643957182576,4.0,Urban,3.0,38.0,673935.795329956
6.0,4456.648016808731,5.0,Urban,3.0,50.0,1279305.404677478
3.0,4387.827113307546,2.0,Rural,1.0,83.0,536597.411201101
1.0,2872.6933141186546,2.0,Suburban,2.0,31.0,562783.2929155107
6.0,4827.495811796659,1.0,Urban,2.0,51.0,1127897.695429501
4.0,4139.975577363476,3.0,Urban,1.0,67.0,1035166.6783054397
5.0,4378.941087819226,5.0,Urban,0.0,,1196464.023182746
2.0,4177.6354011506955,4.0,Rural,3.0,50.0,621758.6225155529
4.0,3653.904361376444,5.0,Urban,0.0,53.0,958933.0386489038
5.0,1596.782671359538,1.0,Suburban,1.0,80.0,353766.18401554745
2.0,2955.133322011165,4.0,Suburban,2.0,51.0,609131.6427576941
1.0,3483.5330576379915,2.0,Suburban,3.0,7.0,700985.6129737092
1.0,954.2353998988468,,Urban,1.0,40.0,324572.82963832165
2.0,2940.6364924088225,5.0,Rural,0.0,68.0,448645.1818472363
1.0,2527.0938574601823,5.0,Suburban,2.0,50.0,477212.1526371012
6.0,1124.9209687843263,3.0,Suburban,0.0,53.0,335372.6215013295
4.0,1034.934760296824,3.0,Urban,0.0,84.0,305895.90852053347
5.0,3477.3455766701604,2.0,Suburban,,60.0,814241.9998305913
2.0,501.49627754220234,4.0,Urban,3.0,74.0,154764.1867405451
4.0,4532.1835984574855,3.0,Rural,3.0,79.0,656231.0580787648
4.0,3552.7047028481384,2.0,Suburban,1.0,3.0,757113.4937001779
4.0,2596.1576315911184,3.0,Suburban,1.0,79.0,550710.195821728
,2973.27219673516,1.0,Urban,1.0,64.0,789884.0666174145
2.0,998.6358298091316,2.0,Urban,0.0,21.0,351029.30727107555
6.0,2058.447958650516,3.0,Rural,3.0,71.0,242176.72876851296
6.0,3285.2668685347467,5.0,Rural,3.0,36.0,539632.1706080929
1.0,4795.970135149883,2.0,Suburban,1.0,20.0,923648.6517089844
6.0,985.7467159090896,5.0,Urban,3.0,16.0,633638.8592049578
1.0,,5.0,Rural,0.0,68.0,405334.924269804
,3524.2521743851403,,Rural,2.0,13.0,606369.101981318
1.0,4391.087864150931,2.0,Rural,1.0,59.0,604533.6027835881
2.0,2295.950846331754,2.0,Suburban,2.0,16.0,483048.3571313981
